Date,Company,Open,Close,High,Low,Volume,Market_Cap
2023-01-01,Apple,1161.57,874.72,526.29,616.62,35916702,218.6
2023-01-02,Apple,134.42,804.39,1476.13,289.72,8913614,1718.0
2023-01-03,Apple,130.97,371.41,999.89,825.76,24352262,626.43
2023-01-04,Apple,553.05,1302.34,1104.75,257.65,5533027,1942.88
2023-01-05,Apple,784.1,1047.72,1467.26,1407.58,24809421,244.54
2023-01-06,Apple,1178.57,1273.07,628.08,357.01,1901111,1916.92
2023-01-07,Apple,1056.61,1302.27,1222.58,453.87,33591471,191.11
2023-01-08,Apple,724.26,1147.7,708.34,669.29,48121026,469.76
2023-01-09,Apple,483.08,714.89,1317.35,636.43,25555117,102.69
2023-01-10,Apple,1495.97,954.77,352.92,1212.53,5809073,1413.18
2023-01-11,Apple,696.65,324.51,1426.76,738.84,22181525,1702.09
2023-01-12,Apple,731.94,1043.1,406.28,339.08,46769490,873.8
2023-01-13,Apple,329.07,350.95,556.71,474.09,2620706,1857.76
2023-01-14,Apple,1212.73,1071.53,1158.67,812.76,22018059,1184.7
2023-01-15,Apple,1071.16,421.44,651.26,306.44,31966709,1263.71
2023-01-16,Apple,409.08,264.57,951.5,956.32,12457860,1692.38
2023-01-17,Apple,215.33,331.4,722.4,892.05,35325001,600.63
2023-01-18,Apple,1052.7,102.79,1139.32,1100.58,20290600,714.99
2023-01-19,Apple,1016.32,1106.24,419.66,1412.79,8813516,1812.84
2023-01-20,Apple,482.56,1125.36,181.84,1377.16,17182143,1802.92
2023-01-21,Apple,1431.21,820.91,519.9,1424.51,28390898,1953.2
2023-01-22,Apple,311.48,325.91,764.03,442.6,34646879,1804.66
2023-01-23,Apple,705.27,216.98,335.23,284.19,12879882,263.47
2023-01-24,Apple,1421.06,126.78,596.72,523.19,6547631,1649.21
2023-01-25,Apple,687.62,332.05,659.98,1353.12,25275941,825.58
2023-01-26,Apple,993.94,1347.2,180.35,1460.87,25130071,1981.69
2023-01-27,Apple,656.63,438.15,916.63,1303.05,20520338,949.84
2023-01-28,Apple,483.9,595.98,1338.08,254.02,13044455,1112.13
2023-01-29,Apple,1477.57,247.48,312.44,1426.4,38090229,1064.25
2023-01-30,Apple,673.07,411.31,936.93,692.7,11736236,650.26
2023-01-31,Apple,1351.74,826.91,1030.63,113.03,41952235,159.29
2023-02-01,Apple,421.94,950.85,687.07,719.35,7277609,1792.35
2023-02-02,Apple,398.35,443.49,1081.54,164.5,48855970,1607.32
2023-02-03,Apple,143.59,180.83,675.02,861.43,9165571,287.66
2023-02-04,Apple,1012.33,647.45,806.49,573.98,4727904,1555.77
2023-02-05,Apple,615.94,427.88,110.29,762.81,44526860,1255.43
2023-02-06,Apple,1310.1,407.38,1068.41,958.44,4232567,824.2
2023-02-07,Apple,762.49,1443.81,1025.88,1316.32,44965347,515.5
2023-02-08,Apple,1455.47,962.82,153.76,1026.66,38916341,1720.86
2023-02-09,Apple,359.74,879.63,615.55,707.67,24585426,1403.37
2023-02-10,Apple,1316.07,682.09,1470.64,1247.2,7216618,1100.0
2023-02-11,Apple,1187.24,700.52,689.03,1367.81,23349834,1223.04
2023-02-12,Apple,1179.29,857.27,802.72,267.66,47673151,191.22
2023-02-13,Apple,1282.7,1075.0,1373.9,844.71,39435211,953.1
2023-02-14,Apple,1165.43,1083.0,1104.17,498.32,27149594,395.46
2023-02-15,Apple,976.71,340.37,914.9,165.89,11487592,424.68
2023-02-16,Apple,283.74,800.16,1216.93,1035.97,48096216,1325.99
2023-02-17,Apple,145.54,676.74,1310.11,1307.88,31890345,1823.4
2023-02-18,Apple,1389.19,1318.74,739.64,328.06,21561154,813.48
2023-02-19,Apple,963.31,983.99,765.15,1237.38,33051283,423.42
2023-02-20,Apple,1215.15,845.51,640.47,1294.75,27024091,1301.01
2023-02-21,Apple,774.13,261.55,1453.39,1380.08,21520598,1743.66
2023-02-22,Apple,264.23,947.89,1076.03,471.4,5172975,1499.15
2023-02-23,Apple,275.26,264.09,216.51,1365.53,38786306,1738.83
2023-02-24,Apple,1059.79,572.09,1308.14,548.93,1481193,1077.74
2023-02-25,Apple,702.43,299.98,772.78,873.27,3759127,1506.23
2023-02-26,Apple,380.73,1068.9,196.26,170.71,34495658,288.73
2023-02-27,Apple,788.23,388.75,869.6,161.43,14983877,703.07
2023-02-28,Apple,189.89,648.6,684.03,1108.52,1627475,785.2
2023-03-01,Apple,914.76,1353.94,1328.85,722.27,30121418,1027.48
2023-03-02,Apple,476.59,386.04,385.59,458.81,46175647,1858.86
2023-03-03,Apple,1216.58,810.93,1257.05,366.58,7357658,1749.85
2023-03-04,Apple,534.51,686.98,880.76,1037.93,11584340,277.71
2023-03-05,Apple,737.31,125.37,176.45,100.56,36351787,353.85
2023-03-06,Apple,116.27,1209.86,1460.58,1228.25,29391151,721.7
2023-03-07,Apple,201.43,196.66,817.66,210.95,35310156,588.58
2023-03-08,Apple,649.49,763.96,507.23,368.09,48826978,1233.39
2023-03-09,Apple,771.91,884.95,757.17,640.73,4482837,1806.52
2023-03-10,Apple,940.03,979.8,1301.0,778.8,35990484,1924.96
2023-03-11,Apple,508.33,1064.08,526.86,596.99,12189741,1310.67
2023-03-12,Apple,1072.97,454.58,369.75,549.0,38091985,1677.94
2023-03-13,Apple,1304.17,113.97,280.7,1449.48,45990622,1055.15
2023-03-14,Apple,1191.79,1112.82,517.0,998.21,21708283,424.57
2023-03-15,Apple,155.47,849.92,1192.07,132.81,6881468,1054.13
2023-03-16,Apple,772.71,1270.56,760.28,702.25,13773924,1114.61
2023-03-17,Apple,246.9,1249.94,418.47,1325.01,14467149,1487.49
2023-03-18,Apple,438.86,1280.66,332.66,522.04,47300120,447.57
2023-03-19,Apple,1481.33,779.13,565.82,232.38,20258714,742.94
2023-03-20,Apple,299.49,567.08,1415.89,1161.74,48607527,734.41
2023-03-21,Apple,798.44,1208.18,580.24,948.42,49166715,1919.28
2023-03-22,Apple,965.42,731.81,1483.37,898.44,37658811,893.45
2023-03-23,Apple,1083.45,356.82,779.32,175.01,8233646,1512.64
2023-03-24,Apple,883.51,1296.96,350.83,296.7,32268475,1504.11
2023-03-25,Apple,113.68,1335.58,1347.6,971.57,23288814,538.43
